Sample   1 | Interval: 1005013.90 µs | Deviation:  5013.90 µs
Sample   2 | Interval:  990065.90 µs | Deviation: -9934.10 µs
Sample   3 | Interval: 1005038.70 µs | Deviation:  5038.70 µs
Sample   4 | Interval: 1004960.00 µs | Deviation:  4960.00 µs
Sample   5 | Interval:  990189.10 µs | Deviation: -9810.90 µs
Sample   6 | Interval: 1004928.70 µs | Deviation:  4928.70 µs
Sample   7 | Interval: 1005091.40 µs | Deviation:  5091.40 µs
Sample   8 | Interval:  989891.40 µs | Deviation: -10108.60 µs
Sample   9 | Interval: 1005032.80 µs | Deviation:  5032.80 µs
Sample  10 | Interval: 1005056.60 µs | Deviation:  5056.60 µs
Sample  11 | Interval:  990033.80 µs | Deviation: -9966.20 µs
Sample  12 | Interval: 1005017.00 µs | Deviation:  5017.00 µs
Sample  13 | Interval: 1004897.80 µs | Deviation:  4897.80 µs
Sample  14 | Interval:  990181.10 µs | Deviation: -9818.90 µs
Sample  15 | Interval: 1004982.30 µs | Deviation:  4982.30 µs
Sample  16 | Interval: 1004993.40 µs | Deviation:  4993.40 µs
Sample  17 | Interval:  990213.40 µs | Deviation: -9786.60 µs
Sample  18 | Interval: 1004847.10 µs | Deviation:  4847.10 µs
Sample  19 | Interval: 1005022.90 µs | Deviation:  5022.90 µs
Sample  20 | Interval:  990070.30 µs | Deviation: -9929.70 µs
Sample  21 | Interval: 1005018.50 µs | Deviation:  5018.50 µs
Sample  22 | Interval: 1004989.40 µs | Deviation:  4989.40 µs
Sample  23 | Interval:  989987.90 µs | Deviation: -10012.10 µs
Sample  24 | Interval: 1005024.80 µs | Deviation:  5024.80 µs
Sample  25 | Interval: 1005074.10 µs | Deviation:  5074.10 µs
Sample  26 | Interval:  990162.70 µs | Deviation: -9837.30 µs
Sample  27 | Interval: 1004802.60 µs | Deviation:  4802.60 µs
Sample  28 | Interval: 1005098.20 µs | Deviation:  5098.20 µs
Sample  29 | Interval:  989963.50 µs | Deviation: -10036.50 µs
Sample  30 | Interval: 1005060.30 µs | Deviation:  5060.30 µs
